label rebin threshold nb_peaks_below
R3A1_BGO1 500 5 2
R3A1_BGO2 500 5 2
R3A1_red 20 5 2
R3A1_green 20 5 2
R3A1_black 20 5 2
R3A1_blue 20 5 2
R3A2_BGO1 500 5 2
R3A2_BGO2 500 5 2
R3A2_red 20 5 2
R3A2_green 20 5 2
R3A2_black 20 5 2
R3A2_blue 20 5 2
R3A3_BGO1 500 5 2
R3A3_BGO2 500 5 2
R3A3_red 20 5 2
R3A3_green 20 5 2
R3A3_black 20 5 2
R3A3_blue 20 5 2
R3A4_BGO1 500 5 2
R3A4_BGO2 500 5 2
R3A4_red 20 5 2
R3A4_green 20 5 2
R3A4_black 20 5 2
R3A4_blue 20 5 2
R3A5_BGO1 500 5 2
R3A5_BGO2 500 5 2
R3A5_red 20 5 2
R3A5_green 20 5 2
R3A5_black 20 5 2
R3A5_blue 20 5 2
R3A6_BGO1 500 5 2
R3A6_BGO2 500 5 2
R3A6_red 20 5 2
R3A6_green 20 5 2
R3A6_black 20 5 2
R3A6_blue 20 5 2
R3A7_BGO1 500 5 2
R3A7_BGO2 500 5 2
R3A7_red 20 5 2
R3A7_green 20 5 2
R3A7_black 20 5 2
R3A7_blue 20 5 2
R3A8_BGO1 500 5 2
R3A8_BGO2 500 5 2
R3A8_red 20 5 2
R3A8_green 20 5 2
R3A8_black 20 5 2
R3A8_blue 20 5 2
R3A9_BGO1 500 5 2
R3A9_BGO2 500 5 2
R3A9_red 20 5 2
R3A9_green 20 5 2
R3A9_black 20 5 2
R3A9_blue 20 5 2
R3A10_BGO1 500 5 2
R3A10_BGO2 500 5 2
R3A10_red 20 5 2
R3A10_green 20 5 2
R3A10_black 20 5 2
R3A10_blue 20 5 2
R3A11_BGO1 500 5 2
R3A11_BGO2 500 5 2
R3A11_red 20 5 2
R3A11_green 20 5 2
R3A11_black 20 5 2
R3A11_blue 20 5 2
R3A12_BGO1 500 5 2
R3A12_BGO2 500 5 2
R3A12_red 20 5 2
R3A12_green 20 5 2
R3A12_black 20 5 2
R3A12_blue 20 5 2
R2A1_BGO1 500 5 2
R2A1_BGO2 500 5 2
R2A1_red 20 5 2
R2A1_green 20 5 2
R2A1_black 20 5 2
R2A1_blue 20 5 2
R2A2_BGO1 500 5 2
R2A2_BGO2 500 5 2
R2A2_red 20 5 2
R2A2_green 20 5 2
R2A2_black 20 5 2
R2A2_blue 20 5 2
R2A3_BGO1 500 5 2
R2A3_BGO2 500 5 2
R2A3_red 20 5 2
R2A3_green 20 5 2
R2A3_black 20 5 2
R2A3_blue 20 5 2
R2A4_BGO1 500 5 2
R2A4_BGO2 500 5 2
R2A4_red 20 5 2
R2A4_green 20 5 2
R2A4_black 20 5 2
R2A4_blue 20 5 2
R2A5_BGO1 500 5 2
R2A5_BGO2 500 5 2
R2A5_red 20 5 2
R2A5_green 20 5 2
R2A5_black 20 5 2
R2A5_blue 20 5 2
R2A6_BGO1 500 5 2
R2A6_BGO2 500 5 2
R2A6_red 20 5 2
R2A6_green 20 5 2
R2A6_black 20 5 2
R2A6_blue 20 5 2
R2A7_BGO1 500 5 2
R2A7_BGO2 500 5 2
R2A7_red 20 5 2
R2A7_green 20 5 2
R2A7_black 20 5 2
R2A7_blue 20 5 2
R2A8_BGO1 500 5 2
R2A8_BGO2 500 5 2
R2A8_red 20 5 2
R2A8_green 20 5 2
R2A8_black 20 5 2
R2A8_blue 20 5 2
R2A9_BGO1 500 5 2
R2A9_BGO2 500 5 2
R2A9_red 20 5 2
R2A9_green 20 5 2
R2A9_black 20 5 2
R2A9_blue 20 5 2
R2A10_BGO1 500 5 2
R2A10_BGO2 500 5 2
R2A10_red 20 5 2
R2A10_green 20 5 2
R2A10_black 20 5 2
